,Server Name / Prefix    ,Count,Relevant Team                                                 ,
,mw                      ,155  ,Service Operations                                              ,
,db                      ,88   ,Data Persistence                                                ,
,an-worker               ,58   ,Analytics SREs                                                  ,
,elastic                 ,35   ,Search Platform SREs                                            ,
,ms-be                   ,35   ,Data Persistence (Media Storage)                                ,
,cloudvirt               ,33   ,WMCS                                                            ,
,wtp                     ,23   ,Service Operations                                              ,
,analytics               ,19   ,Analytics SREs                                                  ,
,cloudcephosd            ,19   ,WMCS                                                            ,
,ganeti                  ,18   ,Infrastructure Foundations                                      ,
,cp                      ,16   ,Traffic                                                         ,
,es                      ,15   ,Data Persistence                                                ,
,kubernetes              ,13   ,Service Operations                                              ,
,restbase                ,12   ,Service Operations                                              ,
,dbproxy                 ,10   ,Data Persistence                                                ,
,wdqs                    ,10   ,Search Platform SREs                                            ,
,clouddb                 ,9    ,WMCS, with support from DBAs                                    ,
,kafka-jumbo             ,9    ,Analytics SREs & Infrastructure Foundations                     ,
,ores                    ,9    ,Machine Learning SREs                                           ,
,aqs                     ,6    ,Analytics SREs                                                  ,
,cloudelastic            ,6    ,WMCS                                                            ,
,an-druid                ,5    ,                                                                ,
,an-presto               ,5    ,                                                                ,
,druid                   ,5    ,                                                                ,
,kafka-main              ,5    ,                                                                ,
,stat                    ,5    ,Analytics SREs                                                  ,
,labstore                ,4    ,WMCS                                                            ,
,lvs                     ,4    ,Traffic                                                         ,
,ms-fe                   ,4    ,Data Persistence (Media Storage)                                ,
,pc                      ,4    ,SRE Data Persistence (DBAs), with support from Platform and Performance,
,rdb                     ,4    ,Service Operations                                              ,
,thanos-be               ,4    ,Observability                                                   ,
,thumbor                 ,4    ,Service Operations (& Performance)                              ,
,an-conf                 ,3    ,                                                                ,
,an-test-worker          ,3    ,                                                                ,
,backup                  ,3    ,Data Persistence                                                ,
,cloudcephmon            ,3    ,WMCS                                                            ,
,cloudcontrol            ,3    ,WMCS                                                            ,
,cloudvirt-wdqs          ,3    ,                                                                ,
,conf                    ,3    ,Service Operations                                              ,
,dbprov                  ,3    ,Data Persistence                                                ,
,dbstore                 ,3    ,Analytics SREs & Data Persistence                               ,
,dumpsdata               ,3    ,Service Operations & Platform Engineering                       ,
,frdb                    ,3    ,                                                                ,
,logstash                ,3    ,Observability                                                   ,
,mc-gp                   ,3    ,Service Operations                                              ,
,payments                ,3    ,                                                                ,
,sessionstore            ,3    ,Service Operations                                              ,
,snapshot                ,3    ,Service Operations & Platform Engineering                       ,
,thanos-fe               ,3    ,Observability                                                   ,
,an-master               ,2    ,Analytics SREs                                                  ,
,an-test-master          ,2    ,                                                                ,
,cloudgw                 ,2    ,WMCS                                                            ,
,cloudmetrics            ,2    ,WMCS                                                            ,
,cloudnet                ,2    ,WMCS                                                            ,
,cloudservices           ,2    ,WMCS                                                            ,
,cloudstore              ,2    ,WMCS                                                            ,
,dns                     ,2    ,Infrastructure Foundations                                      ,
,frqueue                 ,2    ,                                                                ,
,kubestage               ,2    ,Service Operations                                              ,
,labweb                  ,2    ,WMCS                                                            ,
,ms-backup               ,2    ,                                                                ,
,pay-lvs                 ,2    ,                                                                ,
,prometheus              ,2    ,Observability                                                   ,
,puppetmaster            ,2    ,Infrastructure Foundations                                      ,
,relforge                ,2    ,Search Platform SREs                                            ,
,restbase-dev            ,2    ,                                                                ,
,alert1001               ,1    ,Observability                                                   ,
,an-coord1001            ,1    ,Analytics SREs                                                  ,
,an-launcher1002         ,1    ,                                                                ,
,an-test-coord1001       ,1    ,                                                                ,
,atlas-eqiad             ,1    ,                                                                ,
,authdns1001             ,1    ,Traffic                                                         ,
,bast1003                ,1    ,Infrastructure Foundations                                      ,
,centrallog1001          ,1    ,Observability                                                   ,
,civi1001                ,1    ,                                                                ,
,contint1001             ,1    ,Service Operations                                              ,
,cumin1001               ,1    ,Infrastructure Foundations                                      ,
,flerovium               ,1    ,                                                                ,
,fran1001                ,1    ,                                                                ,
,frauth1001              ,1    ,                                                                ,
,frban1001               ,1    ,                                                                ,
,frbast1001              ,1    ,                                                                ,
,frdata1002              ,1    ,                                                                ,
,frdev1001               ,1    ,                                                                ,
,frlog1001               ,1    ,                                                                ,
,frmon1001               ,1    ,                                                                ,
,frmx1001                ,1    ,                                                                ,
,frnetmon1001            ,1    ,                                                                ,
,frpig1001               ,1    ,                                                                ,
,frpm1001                ,1    ,                                                                ,
,gerrit1001              ,1    ,Service Operations (Supportive Services) & Release Engineering  ,
,graphite1004            ,1    ,Observability                                                   ,
,htmldumper1001          ,1    ,                                                                ,
,krb1001                 ,1    ,Infrastructure Foundations & Analytics SREs                     ,
,mwlog1002               ,1    ,Service Operations                                              ,
,mwmaint1002             ,1    ,Service Operations                                              ,
,netmon1002              ,1    ,Infrastructure Foundations                                      ,
,pki1001                 ,1    ,Infrastructure Foundations                                      ,
,sodium                  ,1    ,                                                                ,
,thorium                 ,1    ,                                                                ,
